Date,Closing_Price
2021-03-29,184.85
2021-03-30,185.53
2021-03-31,184.52
2021-04-01,188.97
2021-04-05,188.5
2021-04-06,189.73
2021-04-07,187.56
2021-04-08,187.32
2021-04-09,187.89
2021-04-12,186.49
2021-04-13,185.49
2021-04-14,187.46
2021-04-15,185.93
2021-04-16,187.26
2021-04-19,187.43
2021-04-20,182.79
2021-04-21,183.11
2021-04-22,182.76
2021-04-23,183.02
2021-04-26,184.27
2021-04-27,184.64
2021-04-28,183.39
2021-04-29,185.33
2021-04-30,186.02
2021-05-03,185.51
2021-05-04,184.25
2021-05-05,181.51
2021-05-06,181.79
2021-05-07,184.84
2021-05-10,184.3
2021-05-11,181.67
2021-05-12,177.85
2021-05-13,178.34
2021-05-14,173.7
2021-05-17,170.08
2021-05-18,169.68
2021-05-19,169.27
2021-05-20,171.36
2021-05-21,172.4
2021-05-24,174.31
2021-05-25,176.17
2021-05-26,176.47
2021-05-27,179.04
2021-05-28,178.65
2021-06-01,178.84
2021-06-02,177
2021-06-03,176.24
2021-06-04,177.18
2021-06-07,176.99
2021-06-08,176.33
2021-06-09,176.04
2021-06-10,176.57
2021-06-11,177.38
2021-06-14,178.18
2021-06-15,175.86
2021-06-16,174.66
2021-06-17,174.65
2021-06-18,172.42
2021-06-21,173.97
2021-06-22,173.5
2021-06-23,175.33
2021-06-24,177.93
2021-06-25,178.35
2021-06-28,176.57
2021-06-29,173.93
2021-06-30,175.77
2021-07-01,177.26
2021-07-02,177.11
2021-07-06,173.69
2021-07-07,172.82
2021-07-08,172.8
2021-07-09,177.04
2021-07-12,184.38
2021-07-13,183.65
2021-07-14,183.42
2021-07-15,184.15
2021-07-16,179.31
2021-07-19,172.95
2021-07-20,176.75
2021-07-21,176.89
2021-07-22,175.13
2021-07-23,176.14
2021-07-26,178.74
2021-07-27,179.5
2021-07-28,179.1
2021-07-29,178.35
2021-07-30,176.02
2021-08-02,175.55
2021-08-03,172.99
2021-08-04,172.58
2021-08-05,176.71
2021-08-06,177.13
2021-08-09,176.72
2021-08-10,177.07
2021-08-11,178.09
2021-08-12,179.29
2021-08-13,181.08
2021-08-16,179.09
2021-08-17,175.83
2021-08-18,174.74
2021-08-19,173.25
2021-08-20,175.12
2021-08-23,177.66
2021-08-24,178.47
2021-08-25,178.31
2021-08-26,176.56
2021-08-27,180.14
2021-08-30,179.98
2021-08-31,181.3
2021-09-01,183.48
2021-09-02,181.86
2021-09-03,181
2021-09-07,184.34
2021-09-08,185.15
2021-09-09,185.91
2021-09-10,184.12
2021-09-13,184.98
2021-09-14,182.4
2021-09-15,184.41
2021-09-16,183.34
2021-09-17,183.47
2021-09-20,178.61
2021-09-21,171.17
2021-09-22,173.65
2021-09-23,176.25
2021-09-24,176
2021-09-27,178.26
2021-09-28,174.52
2021-09-29,172.68
2021-09-30,169.17
2021-10-01,176.01
2021-10-04,173.46
2021-10-05,174.61
2021-10-06,175.48
2021-10-07,177.71
2021-10-08,176.74
2021-10-11,173.52
2021-10-12,173.13
2021-10-13,172.96
2021-10-14,174.41
2021-10-15,176.46
2021-10-18,171.14
2021-10-19,171.18
2021-10-20,170.55
2021-10-21,171.34
2021-10-22,169.42
2021-10-25,172.01
2021-10-26,172.04
2021-10-27,169.55
2021-10-28,169.68
2021-10-29,169.07
2021-11-01,170.19
2021-11-02,169.83
2021-11-03,170.08
2021-11-04,170.28
2021-11-05,175.63
2021-11-08,176.87
2021-11-09,175.11
2021-11-10,174.45
2021-11-11,162.11
2021-11-12,159.63
2021-11-15,158.43
2021-11-16,158.83
2021-11-17,157.33
2021-11-18,155.58
2021-11-19,154
2021-11-22,154.16
2021-11-23,151.03
2021-11-24,151.34
2021-11-26,148.11
2021-11-29,147.81
2021-11-30,144.9
2021-12-01,142.15
2021-12-02,147.2
2021-12-03,146.22
2021-12-06,150.37
2021-12-07,150.81
2021-12-08,153.34
2021-12-09,152.94
2021-12-10,152.71
2021-12-13,150.43
2021-12-14,149.1
2021-12-15,150.4
2021-12-16,148.75
2021-12-17,148.76
2021-12-20,146.47
2021-12-21,151.05
2021-12-22,151.88
2021-12-23,153.63
2021-12-27,152.8
